date_col,non_null,failed_parse,min,max
[PAGO] Data Pagamento,34471,11360,2024-01-07 00:00:00,2025-12-12 00:00:00
Creation Date,73192,72098,2024-05-03 08:53:00,2025-05-19 10:28:00
Data de vencimento,73192,0,2024-05-05 17:48:00,2027-12-10 00:00:00
