column,null_rate_pct
Numero nota fiscal,100.0
Valor total,100.0
Parcelado ou unico,100.0
Meio de pagamento,100.0
Em espera?,99.97
Nota fiscal,99.88
Creator,85.8
PDF,76.38
[Wefin] Codigo ingresso,71.54
[PAGO] Data Pagamento,52.9
[PAGO] Data Pagamento 1,52.9
[PAGO] Valor Pago,52.79
[Wefin] Numero doc,2.27
[Wefin] ID da operacao,0.86
[Wefin] Código Recebivel,0.0
Parcela atual,0.0
Valor Parcela,0.0
Slug,0.0
Antecipada?,0.0
Status,0.0
Creation Date,0.0
ID remessa,0.0
Nome Cliente,0.0
N de parcelas,0.0
ID,0.0
Descricao,0.0
Data de vencimento,0.0
CPF,0.0
Clinica,0.0
[Wefin] Código da operacao,0.0
unique id,0.0
